t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2022-03-31,29488384.07,416460074.5,0.0001,178890869.6,27912250.39,417748093,0.0001,175910905.4
2022-04-01,29363922.18,414672215.1,0.0001,179127549.7,28113263.41,417359483.8,0.0001,176441381.2
2022-04-02,29481949.94,412412954.4,0.0001,177789679,28373667.82,416403720.3,0.0001,176824864.2
2022-04-03,29497994.96,415531159.9,0.0001,177470173.6,28638843.59,416020849,0.0001,177138698.4
2022-04-04,29493671.39,412844758,0.0001,177183731.8,28906005.43,415337167,0.0001,177425847.5
2022-04-05,28984555.11,413433330.8,0.0001,177222288.4,29094608.27,414647070.5,0.0001,177720354.6
2022-04-06,28982143.22,413354885.8,0.0001,177475775.3,29327517.27,414101339.8,0.0001,177880009.6
2022-04-07,33632947.47,414532498.4,0.0001,177174805.1,29919597.75,413825971.8,0.0001,177634857.6
2022-04-08,33257135.61,413608728.6,0.0001,178360414.2,30475771.1,413674045.1,0.0001,177525266.8
2022-04-09,32787469.97,415549971.4,0.0001,180530256.6,30947988.25,414122190.4,0.0001,177916777.9
2022-04-10,32780857.4,410043603.9,0.0001,177375005.4,31416968.6,413338253.8,0.0001,177903182.4
2022-04-11,32036321.85,411185150.5,0.0001,177517110.3,31780204.38,413101167.1,0.0001,177950807.9
2022-04-12,32062532.37,414198080.5,0.0001,177581617.4,32219915.41,413210417,0.0001,178002140.6
2022-04-13,31510059.42,413635397.4,0.0001,174993295,32581046.3,413250490.1,0.0001,177647500.6
2022-04-14,31464872.55,413983319.4,0.0001,176436325,32271321.31,413172036,0.0001,177542003.4
2022-04-15,31478122.24,413097083.3,0.0001,176691015.2,32017176.54,413098943.8,0.0001,177303517.8
2022-04-16,31381478.61,412204211.3,0.0001,177569180.2,31816320.63,412620978,0.0001,176880506.9
2022-04-17,31365905.3,415269369.3,0.0001,176987732.7,31614184.62,413367516,0.0001,176825182.3
2022-04-18,31149693.35,415439604.5,0.0001,176854617.3,31487523.41,413975295.1,0.0001,176730540.4
2022-04-19,34502259.92,413243953.5,0.0001,181268577,31836055.91,413838991.2,0.0001,177257248.9
