t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2022-07-14,39895533.54,464752123,0.0001,208844178.6,,,,,,,
2022-07-15,39810335.73,468991570.7,0.0001,208955937.5,,,,,,,
2022-07-16,39778246.33,470037046.5,0.0001,207812265.3,,,,,,,
2022-07-17,39791165.76,472172237,0.0001,207573195.9,,,,,,,
2022-07-18,39904041.88,465938831.8,0.0001,207692660.1,,,,,,,
2022-07-19,40104016.63,466454915.7,0.0001,209236027.3,,,,,,,
2022-07-20,40104412.52,470045767.2,0.0001,210137251.2,,,,,,,
2022-07-21,39569708.38,471832075.3,0.0001,209321666.4,,,,,,,
2022-07-22,39108942.02,471675454.8,0.0001,208789926,,,,,,,
2022-07-23,39068925.53,472892872.3,0.0001,209222077.1,,,,,,,
2022-07-24,39003992.82,468571220.4,0.0001,208950911.7,,,,,,,
2022-07-25,39081203.37,459900614.2,0.0001,209466361.1,,,,,,,
2022-07-26,38993124.68,460271285.5,0.0001,209397240.2,,,,,,,
2022-07-27,39040301.35,459961674.8,0.0001,209273154.5,,,,,,,
2022-07-28,39042165.84,459734292.6,0.0001,209026170.6,,,,,,,
2022-07-29,38975733.49,461248245.2,0.0001,208889642.4,,,,,,,
2022-07-30,38833980.34,459826473.9,0.0001,208674717.1,,,,,,,
2022-07-31,38822699.43,458337755.4,0.0001,208754240.6,,,,,,,
2022-08-01,38806557.7,457005083.8,0.0001,208944472.8,,,,,,,
2022-08-02,38638256.2,455682703.4,0.0001,208972473.8,,,,,,,
2022-08-03,38418661.13,456669969.3,0.0001,207960162.5,,,,,,,
2022-08-04,38475553.08,456430980.5,0.0001,208022881,,,,,,,
2022-08-05,62231162.14,455739203.2,0.0001,208035402.9,,,,,,,
2022-08-06,62578914.42,456774527.7,0.0001,207939371.9,,,,,,,
2022-08-07,87551123.61,452163181.7,0.0001,208223954.5,,,,,,,
2022-08-08,87493451.1,453516128.2,0.0001,208049278.5,,,,,,,
2022-08-09,87688400.97,453550846.6,0.0001,208538005.9,,,,,,,
2022-08-10,87645134.19,452997468.8,0.0001,208219194.3,,,,,,,
2022-08-11,87651205.55,453784508,0.0001,208037590.4,,,,,,,
2022-08-12,87615667.65,453364143.7,0.0001,207526931.2,,,,,,,
2022-08-13,87855589.84,453283031.9,0.0001,207371375.1,,,,,,,
2022-08-14,87883766.95,450012331.6,0.0001,208062225.1,,,,,,,
2022-08-15,88016340.25,448168113.9,0.0001,207941091.8,,,,,,,
2022-08-16,87506424.98,446383725.5,0.0001,207450702.1,,,,,,,
2022-08-17,87693484.74,446135212.2,0.0001,207375102.1,,,,,,,
2022-08-18,87432273.59,446253588.8,0.0001,206945296.6,,,,,,,
2022-08-19,87402243.21,449751524.1,0.0001,206947140.8,,,,,,,
2022-08-20,87592153,452911861.9,0.0001,207217539.6,,,,,,,
2022-08-21,87466770.8,453455120.7,0.0001,207075839.5,,,,,,,
2022-08-22,87596341.66,461245919.9,0.0001,207459881.6,,,,,,,
2022-08-23,87563465.99,462746043.3,0.0001,206763011.5,,,,,,,
2022-08-24,87545262.41,461205586.7,0.0001,206289922.1,,,,,,,
2022-08-25,87525055.12,459520283.8,0.0001,208618855.6,,,,,,,
2022-08-26,87573973.04,456198248.9,0.0001,209145933.4,,,,,,,
2022-08-27,87534176.45,451906677.9,0.0001,212398137.1,,,,,,,
2022-08-28,87670093.62,455463464.4,0.0001,212226287,,,,,,,
2022-08-29,87506035.11,464132532.4,0.0001,212136723.3,,,,,,,
2022-08-30,112217028.8,470553249.2,0.0001,212306515.9,,,,,,,
2022-08-31,112875184.3,473305231.3,0.0001,212580112.1,,,,,,,
2022-09-01,112949704.9,472619964.7,0.0001,212376829.9,,,,,,,
2022-09-02,112823445.6,475173769.1,0.0001,212633855.6,,,,,,,
2022-09-03,112587694.5,474893442.5,0.0001,211779379.4,,,,,,,
2022-09-04,112358358,475199457.6,0.0001,211494317.4,,,,,,,
2022-09-05,112279783.5,488189947,0.0001,211444624.7,,,,,,,
2022-09-06,137391386,492035714.9,0.0001,212082736.2,,,,,,,
2022-09-07,137264669.8,498493069.4,0.0001,212018548.8,,,,,,,
2022-09-08,137779620.2,491657902.1,0.0001,212423551.6,,,,,,,
2022-09-09,137609208.3,487711996.1,0.0001,212461356.4,,,,,,,
2022-09-10,137409817.6,487604114.5,0.0001,212148859.4,,,,,,,
2022-09-11,137340682.5,496406262.4,0.0001,212055149.9,,,,,,,
2022-09-12,137053569.2,493639626.3,0.0001,211894169.8,,,,,,,
2022-09-13,137473806.9,492517305.4,0.0001,211812421.3,,,,,,,
2022-09-14,137179173,491972176,0.0001,211741687.9,,,,,,,
2022-09-15,137068169.3,487695354.8,0.0001,212288911.1,,,,,,,
2022-09-16,137089901.9,490515391.5,0.0001,124646779.4,,,,,,,
2022-09-17,137249944.8,489294360.9,0.0001,124811828.5,,,,,,,
2022-09-18,137229240.9,495214851.2,0.0001,124938040.9,,,,,,,
2022-09-19,137795588.9,491164838.7,0.0001,124630734.3,,,,,,,
2022-09-20,137370450.4,490939763,0.0001,124730725.4,,,,,,,
2022-09-21,137258652.7,488289229.7,0.0001,124558707.1,,,,,,,
2022-09-22,137566244.2,493536811.8,0.0001,212241028.2,,,,,,,
2022-09-23,137491906.3,503784144.7,0.0001,212273883.8,,,,,,,
2022-09-24,137238740.4,501143397.1,0.0001,212197518.4,,,,,,,
2022-09-25,137261014.1,500825929.4,0.0001,211970715.4,,,,,,,
2022-09-26,137489273.4,498863662.2,0.0001,212663057.9,,,,,,,
2022-09-27,137277353,498834524.9,0.0001,211927879.4,,,,,,,
2022-09-28,137006315.9,498688741.4,0.0001,211666223.3,,,,,,,
2022-09-29,136971186,496114674.2,0.0001,211992276,,,,,,,
2022-09-30,136951185.7,496576149.4,0.0001,210888856.7,,,,,,,
2022-10-01,135249104.1,499357047.2,0.0001,208327948,,,,,,,
2022-10-02,135261440.9,507249601.3,0.0001,208386339.7,,,,,,,
2022-10-03,135162958.8,500720285.1,0.0001,206767017,,,,,,,
2022-10-04,135555462.1,500466204.2,0.0001,207806201.6,,,,,,,
2022-10-05,135387408.3,498316746.5,0.0001,207579038.3,,,,,,,
2022-10-06,135375795.4,496759323.9,0.0001,208169493,,,,,,,
2022-10-07,135432397.8,498831107.1,0.0001,207856307.5,,,,,,,
2022-10-08,135001876.9,496001833.2,0.0001,207752659.4,,,,,,,
2022-10-09,135004633.8,498466534.8,0.0001,207318585.2,,,,,,,
2022-10-10,134916579.3,494092647.3,0.0001,207089223.7,,,,,,,
2022-10-11,135691675.8,494658722.2,0.0001,207371463.4,,,,,,,
2022-10-12,135866258.3,492967836.3,0.0001,207253115.8,,,,,,,
2022-10-13,134820366.5,496617792.5,0.0001,206469647.2,,,,,,,
2022-10-14,135391557.1,495918139.1,0.0001,206457499.8,,,,,,,
2022-10-15,135033179.7,495234848.7,0.0001,206131815.7,,,,,,,
2022-10-16,135045874.1,494079998,0.0001,206170053.8,,,,,,,
2022-10-17,135123462.5,495907506.5,0.0001,206124275.7,,,,,,,
2022-10-18,135150799.2,495660031.7,0.0001,206547380.5,,,,,,,
2022-10-19,135064512.3,494089742.1,0.0001,206323321.9,,,,,,,
2022-10-20,135094487.7,492558999.2,0.0001,207580744.9,,,,,,,
2022-10-21,135122818.6,500657329.5,0.0001,206432716.8,,,,,,,
2022-10-22,134791260.2,508365648.1,0.0001,206430160.9,,,,,,,
2022-10-23,134795170.1,508306162.4,0.0001,123628341.4,,,,,,,
2022-10-24,134961546.3,502289342.5,0.0001,123601212,,,,,,,
2022-10-25,134605609.9,502758156.7,0.0001,123790552.2,,,,,,,
2022-10-26,185648178.1,500341817.3,0.0001,206779039.5,,,,,,,
2022-10-27,184970942.2,502623621.1,0.0001,207294847.4,,,,,,,
2022-10-28,184011144.2,505639024.7,0.0001,206631994.2,,,,,,,
2022-10-29,184472818.4,504087051.6,0.0001,209292788.4,,,,,,,
2022-10-30,184580259.6,501194996.6,0.0001,209219428.8,,,,,,,
2022-10-31,184188540.2,502467592.1,0.0001,209185401.3,,,,,,,
2022-11-01,184393062.1,501078610.2,0.0001,209197569,,,,,,,
2022-11-02,234050092.5,500457831.9,0.0001,210866291.1,,,,,,,
2022-11-03,234526465.5,499982115,0.0001,211044298.8,,,,,,,
2022-11-04,232682946.9,496934173.3,0.0001,209823739.1,,,,,,,
2022-11-05,232990018.5,494086585.3,0.0001,207573198.9,,,,,,,
2022-11-06,232954090.8,486520983.7,0.0001,208954993.3,,,,,,,
2022-11-07,233405641.3,491414147.7,0.0001,209489695.1,,,,,,,
2022-11-08,233578734.7,491634021.3,0.0001,209727051.8,,,,,,,
2022-11-09,284794411,491493490.9,0.0001,209947671.5,,,,,,,
2022-11-10,286641169.7,489852037.6,0.0001,211127852.3,,,,,,,
2022-11-11,284593473.6,490981662.8,0.0001,209623159.6,,,,,,,
2022-11-12,285050151.7,486885468.3,0.0001,209860620.2,,,,,,,
2022-11-13,285462451.9,482362712.7,0.0001,209396638.5,,,,,,,
2022-11-14,285184647.9,487569769.9,0.0001,209269991.2,,,,,,,
2022-11-15,285482723.1,483244066.7,0.0001,209464122.3,,,,,,,
2022-11-16,334939987.3,481737078.9,0.0001,209509758.6,,,,,,,
2022-11-17,335391771.4,483078292.3,0.0001,209646166.9,,,,,,,
2022-11-18,335520211.2,487145114.7,0.0001,209012809.7,,,,,,,
2022-11-19,335742198.7,488210400.5,0.0001,209571403.3,,,,,,,
2022-11-20,335699623.2,491325060.9,0.0001,209547143.6,,,,,,,
2022-11-21,336077270.7,484739148,0.0001,209481567.5,,,,,,,
2022-11-22,335414469.1,487996130.1,0.0001,209426490.4,,,,,,,
2022-11-23,435291797.7,486551905.5,0.0001,209406345.3,,,,,,,
2022-11-24,435503865.6,488874584.6,0.0001,210080969.2,,,,,,,
2022-11-25,435939369.4,487594382.4,0.0001,209943313.4,,,,,,,
2022-11-26,435845992,483677201.5,0.0001,209647624.4,,,,,,,
2022-11-27,435410581.4,488665371.3,0.0001,209935797.8,,,,,,,
2022-11-28,435410581.4,488400324.3,0.0001,209592081.1,,,,,,,
2022-11-29,435865605.4,487393573.9,0.0001,210002888,,,,,,,
2022-11-30,536320625.1,486346051.6,0.0001,210867617.5,,,,,,,
2022-12-01,537032750.1,487749366.7,0.0001,210030359.4,,,,,,,
2022-12-02,535743322.9,484454465.1,0.0001,211481307.3,,,,,,,
2022-12-03,534686223.4,484637149.6,0.0001,211119511.9,,,,,,,
2022-12-04,535437351.8,486761603.9,0.0001,211208123.5,,,,,,,
2022-12-05,534769887.5,487126806.9,0.0001,211663434.8,,,,,,,
2022-12-06,535437351.8,487424206.9,0.0001,211539621.3,,,,,,,
